model,template,entity,precision,recall,f1,f1_r_micro,f1_r_macro
gervasio_8b_ptpt,cls_def_exp,participants,0.3951219512195122,0.30393996247654786,0.34358430540827145,0.5227995758218452,0.5118900404516422
gervasio_8b_ptpt,ext_def_exp,participants,0.434878587196468,0.3696060037523452,0.39959432048681537,0.5760649087221096,0.5766678421177083
llama32_3b,cls,participants,0.0,0.0,0.0,0.0,0.0
llama32_3b,cls_def,participants,0.0,0.0,0.0,0.0,0.0
llama32_3b,cls_def_exp,participants,0.05555555555555555,0.00375234521575985,0.0070298769771529,0.03514938488576451,0.014224751066856329
llama32_3b,cls_exp,participants,0.125,0.0225140712945591,0.03815580286168522,0.06518282988871224,0.01610369206598586
llama32_3b,ext,participants,0.25,0.05628517823639775,0.09188361408882083,0.22052067381317,0.2167406072726776
llama32_3b,ext_def,participants,0.2937062937062937,0.07879924953095685,0.1242603550295858,0.2514792899408284,0.2485881601828149
llama32_3b,ext_exp,participants,0.11487018095987411,0.27392120075046905,0.16186252771618626,0.32224070992789794,0.3439659388549521
llama32_3b,ext_def_exp,participants,0.16806722689075632,0.2626641651031895,0.20497803806734993,0.3770131771595901,0.3957733132304616
qwen25_14b,ext,participants,0.2676056338028169,0.03564727954971857,0.06291390728476821,0.14900662251655628,0.1429763604226997
qwen25_14b,ext_def,participants,0.28205128205128205,0.06191369606003752,0.10153846153846155,0.22461538461538463,0.22910024641316085
qwen25_14b,cls,participants,0.30612244897959184,0.1125703564727955,0.1646090534979424,0.3223593964334705,0.32928205223487844
qwen25_14b,cls_def,participants,0.329608938547486,0.11069418386491557,0.16573033707865167,0.3174157303370787,0.30977275452936387
qwen25_14b,ext_exp,participants,0.25,0.1350844277673546,0.1753958587088916,0.38367844092570036,0.3865747154813354
qwen25_14b,ext_def_exp,participants,0.28135593220338984,0.15572232645403378,0.20048309178743962,0.41183574879227053,0.4087399852776287
qwen25_14b,cls_def_exp,participants,0.28664495114006516,0.1651031894934334,0.2095238095238095,0.42261904761904767,0.4255542391150328
qwen25_14b,cls_exp,participants,0.28846153846153844,0.16885553470919323,0.21301775147928992,0.4165680473372781,0.41400638707483745
qwen3_14b,ext,participants,0.16455696202531644,0.024390243902439025,0.042483660130718956,0.1372549019607843,0.13471859051606636
qwen3_14b,ext_def,participants,0.23387096774193547,0.054409005628517824,0.0882800608828006,0.22070015220700154,0.2244138904518988
qwen3_14b,cls_def,participants,0.3192488262910798,0.1275797373358349,0.18230563002680963,0.3512064343163539,0.35651765937565133
qwen3_14b,cls,participants,0.31390134529147984,0.13133208255159476,0.1851851851851852,0.35978835978835977,0.36195964900572325
qwen3_14b,cls_exp,participants,0.3313953488372093,0.21388367729831145,0.25997719498289623,0.467502850627138,0.4729775605319564
qwen3_14b,cls_def_exp,participants,0.3641456582633053,0.24390243902439024,0.2921348314606741,0.46853932584269664,0.4728386749200047
qwen3_14b,ext_def_exp,participants,0.37719298245614036,0.24202626641651032,0.2948571428571429,0.48799999999999993,0.4935162982722429
qwen3_14b,ext_exp,participants,0.42045454545454547,0.2776735459662289,0.3344632768361582,0.5118644067796609,0.5124383295169596
qwen3_4b,ext,participants,0.18032786885245902,0.020637898686679174,0.037037037037037035,0.11616161616161613,0.11744652797985163
qwen3_4b,ext_def,participants,0.23622047244094488,0.05628517823639775,0.09090909090909091,0.22878787878787882,0.2329015100756512
qwen3_4b,cls_def,participants,0.3113207547169811,0.12382739212007504,0.17718120805369128,0.3409395973154362,0.34303231035963416
qwen3_4b,cls,participants,0.31601731601731603,0.13696060037523453,0.19109947643979056,0.35471204188481675,0.35741943816241045
qwen3_4b,ext_exp,participants,0.19476744186046513,0.25140712945590993,0.21949221949221948,0.43161343161343163,0.43469151631845
qwen3_4b,ext_def_exp,participants,0.26239669421487605,0.23827392120075047,0.2497541789577188,0.46214355948869223,0.4716375670027666
qwen3_4b,cls_def_exp,participants,0.26720647773279355,0.24765478424015008,0.25705939629990265,0.4673807205452775,0.4701467902570505
qwen3_4b,cls_exp,participants,0.25357142857142856,0.26641651031894936,0.2598353156450137,0.4693504117108875,0.4733599220900627
qwen3_8b,ext,participants,0.1891891891891892,0.02626641651031895,0.04612850082372324,0.13344316309719934,0.133778888941566
qwen3_8b,ext_def,participants,0.1984732824427481,0.04878048780487805,0.0783132530120482,0.22439759036144577,0.22476739219342018
qwen3_8b,cls_def,participants,0.27555555555555555,0.11632270168855535,0.16358839050131926,0.3469656992084433,0.35313782870357463
qwen3_8b,cls,participants,0.29571984435797666,0.1425891181988743,0.19240506329113924,0.37848101265822787,0.38514436896368
qwen3_8b,cls_def_exp,participants,0.2647887323943662,0.17636022514071295,0.21171171171171174,0.42229729729729726,0.42592044880981683
qwen3_8b,ext_exp,participants,0.3333333333333333,0.19324577861163228,0.24465558194774342,0.44061757719714967,0.44348428271268053
qwen3_8b,cls_exp,participants,0.30727762803234504,0.21388367729831145,0.252212389380531,0.4502212389380531,0.45761903807110754
qwen3_8b,ext_def_exp,participants,0.31865284974093266,0.23076923076923078,0.26768226332970624,0.5038084874863982,0.5144403830820898
