model,template,entity,precision,recall,f1,f1_r_micro,f1_r_macro
gemma3_4b,ext_def_exp,participants,0.23303834808259588,0.15105162523900573,0.18329466357308585,0.39559164733178653,0.3977229824301902
gemma3_4b,cls_exp,participants,0.20705882352941177,0.1682600382409178,0.18565400843881857,0.3955696202531646,0.3928226281934314
gemma3_4b,cls_def_exp,participants,0.23837209302325582,0.15678776290630975,0.1891580161476355,0.39100346020761245,0.39684234653842276
gervasio_8b_ptpt,ext,participants,0.2631578947368421,0.04780114722753346,0.0809061488673139,0.18122977346278316,0.18758385879360184
gervasio_8b_ptpt,ext_def,participants,0.2222222222222222,0.06500956022944551,0.10059171597633138,0.2603550295857988,0.26215885791890897
gervasio_8b_ptpt,cls_def,participants,0.2384937238493724,0.1089866156787763,0.1496062992125984,0.3320209973753281,0.3386044712203952
gervasio_8b_ptpt,cls,participants,0.23841059602649006,0.13766730401529637,0.17454545454545453,0.3890909090909091,0.3909019728159351
gervasio_8b_ptpt,ext_exp,participants,0.1780821917808219,0.1988527724665392,0.1878952122854562,0.3839205058717253,0.37941873306379814
gervasio_8b_ptpt,cls_exp,participants,0.19142419601837674,0.2390057361376673,0.21258503401360543,0.401360544217687,0.3993870749097771
gervasio_8b_ptpt,cls_def_exp,participants,0.2398286937901499,0.21414913957934992,0.22626262626262628,0.4282828282828282,0.4214245365260623
gervasio_8b_ptpt,ext_def_exp,participants,0.3402777777777778,0.28107074569789675,0.3078534031413612,0.4806282722513089,0.48815571754094395
qwen3_14b,ext,participants,0.20987654320987653,0.032504780114722756,0.05629139072847683,0.15066225165562913,0.1531025405196417
qwen3_14b,ext_def,participants,0.1623931623931624,0.036328871892925434,0.059375,0.1984375,0.20649928896495937
qwen3_14b,cls,participants,0.25957446808510637,0.11663479923518165,0.16094986807387862,0.3548812664907652,0.3584785513188008
qwen3_14b,cls_def,participants,0.30973451327433627,0.1338432122370937,0.1869158878504673,0.3604806408544726,0.36513685988129413
qwen3_14b,ext_def_exp,participants,0.26791277258566976,0.16443594646271512,0.2037914691943128,0.41113744075829384,0.41622338684559795
qwen3_14b,cls_exp,participants,0.2922636103151863,0.1950286806883365,0.23394495412844038,0.4449541284403669,0.448861433644462
qwen3_14b,cls_def_exp,participants,0.3105590062111801,0.19120458891013384,0.23668639053254434,0.44970414201183434,0.4525590295601663
qwen3_14b,ext_exp,participants,0.30857142857142855,0.20650095602294455,0.24742268041237112,0.4421534936998854,0.44235380303498933
qwen3_4b,ext,participants,0.19753086419753085,0.030592734225621414,0.052980132450331126,0.1423841059602649,0.13882339429927565
qwen3_4b,ext_def,participants,0.168,0.040152963671128104,0.06481481481481481,0.2098765432098766,0.21227256715362222
qwen3_4b,cls_def,participants,0.2538860103626943,0.09369024856596558,0.13687150837988826,0.30307262569832405,0.3055629886542238
qwen3_4b,cls,participants,0.2772727272727273,0.11663479923518165,0.1641991924629879,0.33647375504710636,0.3370686648551933
qwen3_4b,ext_def_exp,participants,0.24764150943396226,0.20076481835564053,0.22175290390707497,0.44667370644139387,0.45242885993852416
qwen3_4b,cls_exp,participants,0.29603729603729606,0.24282982791587,0.2668067226890756,0.4810924369747899,0.4818804119380744
qwen3_4b,cls_def_exp,participants,0.31527093596059114,0.2447418738049713,0.2755651237890204,0.4757804090419806,0.478806187354378
qwen3_4b,ext_exp,participants,0.27884615384615385,0.27724665391969405,0.27804410354745923,0.4755512943432406,0.4716853804790863
qwen3_8b,ext,participants,0.136986301369863,0.019120458891013385,0.03355704697986577,0.12583892617449663,0.1282358267530044
qwen3_8b,ext_def,participants,0.14049586776859505,0.032504780114722756,0.052795031055900624,0.2003105590062112,0.2025161436148031
qwen3_8b,cls,participants,0.20446096654275092,0.10516252390057361,0.1388888888888889,0.34848484848484845,0.3500957553685695
qwen3_8b,cls_def,participants,0.2311111111111111,0.0994263862332696,0.13903743315508021,0.33689839572192515,0.3423464130196154
qwen3_8b,cls_exp,participants,0.21724137931034482,0.12045889101338432,0.15498154981549817,0.3530135301353014,0.3389543672156426
qwen3_8b,cls_def_exp,participants,0.225130890052356,0.16443594646271512,0.19005524861878453,0.4110497237569061,0.41779971289798035
qwen3_8b,ext_exp,participants,0.2824675324675325,0.16634799235181644,0.20938628158844763,0.41516245487364617,0.4190782632062325
qwen3_8b,ext_def_exp,participants,0.30835734870317005,0.2045889101338432,0.24597701149425286,0.44597701149425284,0.44918159447267575
